time,open,high,low,close,volume
2026-06-03 18:00:00+00:00,1.15985,1.15992,1.15959,1.15962,607.05
2026-06-03 18:15:00+00:00,1.15963,1.15981,1.15952,1.15978,576.0
2026-06-03 18:30:00+00:00,1.15979,1.15979,1.15954,1.15971,728.17
2026-06-03 18:45:00+00:00,1.1597,1.15996,1.1597,1.15982,669.15
2026-06-03 19:00:00+00:00,1.15982,1.16,1.15977,1.15981,482.4
2026-06-03 19:15:00+00:00,1.1598,1.16009,1.1597,1.15972,627.63
2026-06-03 19:30:00+00:00,1.15973,1.15991,1.15972,1.1598,396.45
2026-06-03 19:45:00+00:00,1.15979,1.15989,1.15973,1.1598,476.1
2026-06-03 20:00:00+00:00,1.15981,1.15992,1.15969,1.15987,285.3
2026-06-03 20:15:00+00:00,1.15986,1.16004,1.15981,1.15993,298.35
2026-06-03 20:30:00+00:00,1.15993,1.16,1.15978,1.15982,217.35
2026-06-03 20:45:00+00:00,1.15982,1.15999,1.15965,1.15971,356.61
2026-06-03 21:00:00+00:00,1.15966,1.15986,1.15958,1.15971,233.3
2026-06-03 21:15:00+00:00,1.15972,1.15975,1.15967,1.15968,123.3
2026-06-03 21:30:00+00:00,1.15967,1.15991,1.15967,1.15991,711.0
2026-06-03 21:45:00+00:00,1.15995,1.16003,1.15967,1.15975,345.6
2026-06-03 22:00:00+00:00,1.15974,1.15989,1.15948,1.15956,375.47
2026-06-03 22:15:00+00:00,1.15957,1.15972,1.15945,1.15967,221.4
2026-06-03 22:30:00+00:00,1.15969,1.15987,1.15966,1.15974,229.5
2026-06-03 22:45:00+00:00,1.15974,1.16123,1.15968,1.16056,1102.54
2026-06-03 23:00:00+00:00,1.16056,1.16083,1.16012,1.16048,1264.26
2026-06-03 23:15:00+00:00,1.16048,1.16059,1.16037,1.16051,398.46
2026-06-03 23:30:00+00:00,1.16052,1.16072,1.16046,1.16068,361.78999999999996
2026-06-03 23:45:00+00:00,1.16068,1.16108,1.16067,1.16088,634.0500000000001
2026-06-04 00:00:00+00:00,1.1609,1.1611,1.16054,1.16085,1359.22
2026-06-04 00:15:00+00:00,1.16083,1.16125,1.16074,1.16094,949.95
2026-06-04 00:30:00+00:00,1.16094,1.16119,1.1608,1.16112,855.4499999999999
2026-06-04 00:45:00+00:00,1.16113,1.16115,1.16057,1.16066,663.75
2026-06-04 01:00:00+00:00,1.16067,1.16073,1.16039,1.16063,805.95
2026-06-04 01:15:00+00:00,1.16061,1.16085,1.16052,1.16077,793.35
2026-06-04 01:30:00+00:00,1.16078,1.16101,1.1607,1.16076,875.23
2026-06-04 01:45:00+00:00,1.16079,1.16098,1.16073,1.16094,635.4
2026-06-04 02:00:00+00:00,1.16094,1.16102,1.16076,1.16076,945.45
2026-06-04 02:15:00+00:00,1.16076,1.1608,1.16062,1.16076,633.6
2026-06-04 02:30:00+00:00,1.16077,1.16094,1.16075,1.16092,445.5
2026-06-04 02:45:00+00:00,1.16092,1.16111,1.16092,1.16101,356.85
2026-06-04 03:00:00+00:00,1.16101,1.16101,1.16039,1.16043,421.65
2026-06-04 03:15:00+00:00,1.16045,1.16062,1.16024,1.16035,308.25
2026-06-04 03:30:00+00:00,1.16033,1.16049,1.16026,1.16033,423.0
2026-06-04 03:45:00+00:00,1.16033,1.16061,1.16027,1.1606,251.55
2026-06-04 04:00:00+00:00,1.1606,1.1606,1.16039,1.16044,319.05
2026-06-04 04:15:00+00:00,1.16043,1.1606,1.16043,1.16058,356.4
2026-06-04 04:30:00+00:00,1.16058,1.16129,1.16058,1.1611,1283.85
2026-06-04 04:45:00+00:00,1.1611,1.16125,1.16083,1.16096,333.0
2026-06-04 05:00:00+00:00,1.16095,1.16104,1.16073,1.16084,508.95
