time,currency,impact,event,window_start,window_end,source,country
2020-04-23T13:45:00,USD,high,Flash Manufacturing PMI,2020-04-23T13:42:00,2020-04-23T13:48:00,forexfactory,US
2020-04-23T21:43:00,USD,high,President Trump Speaks,2020-04-23T21:40:00,2020-04-23T21:46:00,forexfactory,US
2020-04-24T08:00:00,EUR,high,German ifo Business Climate,2020-04-24T07:57:00,2020-04-24T08:03:00,forexfactory,GE
2020-04-24T12:30:00,USD,high,Core Durable Goods Orders m/m,2020-04-24T12:27:00,2020-04-24T12:33:00,forexfactory,US
2020-04-24T21:40:00,USD,high,President Trump Speaks,2020-04-24T21:37:00,2020-04-24T21:43:00,forexfactory,US
2020-04-27T21:38:00,USD,high,President Trump Speaks,2020-04-27T21:35:00,2020-04-27T21:41:00,forexfactory,US
2020-04-28T14:00:00,USD,high,CB Consumer Confidence,2020-04-28T13:57:00,2020-04-28T14:03:00,forexfactory,US
2020-04-29T12:32:00,USD,high,Advance GDP q/q,2020-04-29T12:29:00,2020-04-29T12:35:00,forexfactory,US
2020-04-29T18:00:00,USD,high,FOMC Statement,2020-04-29T17:57:00,2020-04-29T18:03:00,forexfactory,US
2020-04-29T18:30:00,USD,high,FOMC Press Conference,2020-04-29T18:27:00,2020-04-29T18:33:00,forexfactory,US
2020-04-30T11:45:00,EUR,high,Monetary Policy Statement,2020-04-30T11:42:00,2020-04-30T11:48:00,forexfactory,EZ
2020-04-30T11:45:00,EUR,high,Main Refinancing Rate,2020-04-30T11:42:00,2020-04-30T11:48:00,forexfactory,EZ
2020-04-30T12:30:00,EUR,high,ECB Press Conference,2020-04-30T12:27:00,2020-04-30T12:33:00,forexfactory,EZ
2020-04-30T12:30:00,USD,high,Unemployment Claims,2020-04-30T12:27:00,2020-04-30T12:33:00,forexfactory,US
2020-04-30T14:00:00,USD,high,Fed Announcement,2020-04-30T13:57:00,2020-04-30T14:03:00,forexfactory,US
2020-05-01T14:00:00,USD,high,ISM Manufacturing PMI,2020-05-01T13:57:00,2020-05-01T14:03:00,forexfactory,US
2020-05-05T08:11:00,EUR,high,German Constitutional Court Ruling,2020-05-05T08:08:00,2020-05-05T08:14:00,forexfactory,GE
2020-05-05T14:00:00,USD,high,ISM Services PMI,2020-05-05T13:57:00,2020-05-05T14:03:00,forexfactory,US
2020-05-06T09:00:00,EUR,high,EU Economic Forecasts,2020-05-06T08:57:00,2020-05-06T09:03:00,forexfactory,EZ
2020-05-06T12:15:00,USD,high,ADP Non-Farm Employment Change,2020-05-06T12:12:00,2020-05-06T12:18:00,forexfactory,US
2020-05-07T12:30:00,USD,high,Unemployment Claims,2020-05-07T12:27:00,2020-05-07T12:33:00,forexfactory,US
2020-05-07T14:00:00,EUR,high,ECB President Lagarde Speaks,2020-05-07T13:57:00,2020-05-07T14:03:00,forexfactory,EZ
2020-05-08T11:00:00,EUR,high,ECB President Lagarde Speaks,2020-05-08T10:57:00,2020-05-08T11:03:00,forexfactory,EZ
